GeneId,GeneSymbol,GeneName,Svalue,Pvalue,Meta-Qvalue,sigCore
9786,KIAA0586,KIAA0586,42.93,9.04E-07,1.73E-04,
10993,SDS,serine dehydratase,42.86,9.32E-07,1.73E-04,
4853,NOTCH2,Notch homolog 2 (Drosophila),42.76,9.75E-07,1.75E-04,
9459,ARHGEF6,Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6,42.66,1.02E-06,1.79E-04,
3709,ITPR2,"inositol 1,4,5-triphosphate receptor, type 2",42.58,1.05E-06,1.82E-04,
22836,RHOBTB3,Rho-related BTB domain containing 3,42.40,1.14E-06,1.90E-04,
8082,SSPN,sarcospan (Kras oncogene-associated gene),42.44,1.12E-06,1.90E-04,
120,ADD3,adducin 3 (gamma),42.26,1.21E-06,1.98E-04,
9627,SNCAIP,"synuclein, alpha interacting protein",37.45,1.44E-06,2.17E-04,
4907,NT5E,"5'-nucleotidase, ecto (CD73)",41.93,1.40E-06,2.17E-04,
2824,GPM6B,glycoprotein M6B,41.89,1.42E-06,2.17E-04,
8630,HSD17B6,hydroxysteroid (17-beta) dehydrogenase 6 homolog (mouse),41.96,1.38E-06,2.17E-04,
79148,MMP28,matrix metallopeptidase 28,37.38,1.49E-06,2.18E-04,
3400,ID4,"inhibitor of DNA binding 4, dominant negative helix-loop-helix protein",37.37,1.49E-06,2.18E-04,
7374,UNG,uracil-DNA glycosylase,37.26,1.57E-06,2.20E-04,
26020,LRP10,low density lipoprotein receptor-related protein 10,41.62,1.60E-06,2.20E-04,
203,AK1,adenylate kinase 1,41.67,1.56E-06,2.20E-04,
840,CASP7,"caspase 7, apoptosis-related cysteine peptidase",41.62,1.60E-06,2.20E-04,
6565,SLC15A2,"solute carrier family 15 (H+/peptide transporter), member 2",41.48,1.70E-06,2.31E-04,
,ABBA-1,unknown,37.04,1.73E-06,2.31E-04,
114883,OSBPL9,oxysterol binding protein-like 9,37.01,1.75E-06,2.31E-04,
23155,CLCC1,chloride channel CLIC-like 1,41.34,1.80E-06,2.31E-04,
23469,PHF3,PHD finger protein 3,41.36,1.79E-06,2.31E-04,
221749,C6orf145,chromosome 6 open reading frame 145,41.24,1.88E-06,2.38E-04,
2262,GPC5,glypican 5,41.13,1.97E-06,2.46E-04,
56829,ZC3HAV1,"zinc finger CCCH-type, antiviral 1",41.05,2.04E-06,2.52E-04,
6397,SEC14L1,SEC14-like 1 (S. cerevisiae),40.93,2.15E-06,2.60E-04,
3707,ITPKB,"inositol 1,4,5-trisphosphate 3-kinase B",40.92,2.16E-06,2.60E-04,
22882,ZHX2,zinc fingers and homeoboxes 2,40.83,2.24E-06,2.66E-04,
,KIAA0828,unknown,36.22,2.50E-06,2.67E-04,
11030,RBPMS,RNA binding protein with multiple splicing,40.64,2.43E-06,2.67E-04,
8573,CASK,calcium/calmodulin-dependent serine protein kinase (MAGUK family),40.61,2.47E-06,2.67E-04,
124152,IQCK,IQ motif containing K,40.72,2.35E-06,2.67E-04,
5995,RGR,retinal G protein coupled receptor,40.77,2.30E-06,2.67E-04,
11170,FAM107A,"family with sequence similarity 107, member A",40.59,2.49E-06,2.67E-04,
5465,PPARA,peroxisome proliferator-activated receptor alpha,40.67,2.40E-06,2.67E-04,
84263,HSDL2,hydroxysteroid dehydrogenase like 2,36.14,2.59E-06,2.72E-04,
4128,MAOA,monoamine oxidase A,40.48,2.61E-06,2.72E-04,
4170,MCL1,myeloid cell leukemia sequence 1 (BCL2-related),40.42,2.67E-06,2.74E-04,
6788,STK3,"serine/threonine kinase 3 (STE20 homolog, yeast)",40.40,2.70E-06,2.74E-04,
11078,TRIOBP,TRIO and F-actin binding protein,40.39,2.71E-06,2.74E-04,
4134,MAP4,microtubule-associated protein 4,35.93,2.84E-06,2.79E-04,
64598,MOSPD3,motile sperm domain containing 3,35.93,2.84E-06,2.79E-04,
2628,GATM,glycine amidinotransferase (L-arginine:glycine amidinotransferase),40.32,2.79E-06,2.79E-04,
4329,ALDH6A1,"aldehyde dehydrogenase 6 family, member A1",40.24,2.89E-06,2.81E-04,
5348,FXYD1,FXYD domain containing ion transport regulator 1,40.21,2.93E-06,2.82E-04,
4774,NFIA,nuclear factor I/A,40.10,3.07E-06,2.92E-04,
7159,TP53BP2,"tumor protein p53 binding protein, 2",40.07,3.11E-06,2.92E-04,
64067,NPAS3,neuronal PAS domain protein 3,40.05,3.14E-06,2.92E-04,
35,ACADS,"acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain",40.03,3.17E-06,2.92E-04,
5586,PKN2,protein kinase N2,39.99,3.21E-06,2.94E-04,
5445,PON2,paraoxonase 2,39.93,3.30E-06,2.98E-04,
26137,ZBTB20,zinc finger and BTB domain containing 20,39.89,3.36E-06,2.99E-04,
25976,TIPARP,TCDD-inducible poly(ADP-ribose) polymerase,39.85,3.42E-06,2.99E-04,
23135,JMJD3,"jumonji domain containing 3, histone lysine demethylase",39.82,3.46E-06,2.99E-04,
7867,MAPKAPK3,mitogen-activated protein kinase-activated protein kinase 3,39.80,3.49E-06,2.99E-04,
23302,WSCD1,WSC domain containing 1,39.71,3.62E-06,3.08E-04,
84706,GPT2,glutamic pyruvate transaminase (alanine aminotransferase) 2,35.33,3.73E-06,3.12E-04,
23194,FBXL7,F-box and leucine-rich repeat protein 7,39.56,3.86E-06,3.19E-04,
129642,MBOAT2,membrane bound O-acyltransferase domain containing 2,39.44,4.06E-06,3.30E-04,
2752,GLUL,glutamate-ammonia ligase (glutamine synthetase),39.42,4.10E-06,3.30E-04,
,EDG1,unknown,34.99,4.32E-06,3.42E-04,
6385,SDC4,syndecan 4,39.26,4.40E-06,3.46E-04,
4820,NKTR,natural killer-tumor recognition sequence,39.20,4.51E-06,3.49E-04,
10912,GADD45G,"growth arrest and DNA-damage-inducible, gamma",39.21,4.49E-06,3.49E-04,
4848,CNOT2,"CCR4-NOT transcription complex, subunit 2",39.07,4.77E-06,3.66E-04,
655,BMP7,bone morphogenetic protein 7,38.95,5.02E-06,3.82E-04,
22834,ZNF652,zinc finger protein 652,38.92,5.08E-06,3.83E-04,
51585,PCF11,"PCF11, cleavage and polyadenylation factor subunit, homolog (S. cerevisiae)",38.91,5.11E-06,3.83E-04,
4651,MYO10,myosin X,38.84,5.25E-06,3.84E-04,
,AK055981,unknown,38.88,5.18E-06,3.84E-04,
6259,RYK,RYK receptor-like tyrosine kinase,38.81,5.32E-06,3.84E-04,
8613,PPAP2B,phosphatidic acid phosphatase type 2B,38.73,5.52E-06,3.94E-04,
51773,RSF1,remodeling and spacing factor 1,34.39,5.65E-06,4.01E-04,
9635,CLCA2,chloride channel regulator 2,38.65,5.72E-06,4.03E-04,
10389,SCML2,sex comb on midleg-like 2 (Drosophila),34.32,5.84E-06,4.04E-04,
6693,SPN,sialophorin,38.59,5.85E-06,4.04E-04,
129080,EMID1,EMI domain containing 1,38.59,5.86E-06,4.04E-04,
8671,SLC4A4,"solute carrier family 4, sodium bicarbonate cotransporter, member 4",38.55,5.95E-06,4.07E-04,
3655,ITGA6,"integrin, alpha 6",38.53,6.00E-06,4.08E-04,
1770,DNAH9,"dynein, axonemal, heavy chain 9",38.47,6.18E-06,4.14E-04,
1191,CLU,clusterin,34.06,6.55E-06,4.36E-04,
10267,RAMP1,receptor (G protein-coupled) activity modifying protein 1,38.23,6.84E-06,4.49E-04,
347733,TUBB2B,"tubulin, beta 2B",38.22,6.84E-06,4.49E-04,
79830,ZMYM1,"zinc finger, MYM-type 1",33.93,6.94E-06,4.50E-04,
2018,EMX2,empty spiracles homeobox 2,38.19,6.95E-06,4.50E-04,
3021,H3F3B,"H3 histone, family 3B (H3.3B)",33.86,7.16E-06,4.51E-04,
1615,DARS,aspartyl-tRNA synthetase,38.13,7.13E-06,4.51E-04,
10174,SORBS3,sorbin and SH3 domain containing 3,38.13,7.12E-06,4.51E-04,
5187,PER1,period homolog 1 (Drosophila),38.12,7.15E-06,4.51E-04,
54453,RIN2,Ras and Rab interactor 2,38.05,7.38E-06,4.59E-04,
79443,FYCO1,FYVE and coiled-coil domain containing 1,33.76,7.47E-06,4.61E-04,
6929,TCF3,transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47),37.95,7.70E-06,4.73E-04,
5525,PPP2R5A,"protein phosphatase 2, regulatory subunit B', alpha isoform",37.92,7.80E-06,4.76E-04,
8645,KCNK5,"potassium channel, subfamily K, member 5",33.63,7.94E-06,4.76E-04,
51129,ANGPTL4,angiopoietin-like 4,33.64,7.90E-06,4.76E-04,
5352,PLOD2,"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2",37.87,7.96E-06,4.76E-04,
55937,APOM,apolipoprotein M,33.54,8.26E-06,4.91E-04,
223,ALDH9A1,"aldehyde dehydrogenase 9 family, member A1",37.76,8.33E-06,4.92E-04,
1464,CSPG4,chondroitin sulfate proteoglycan 4,37.74,8.41E-06,4.93E-04,
6238,RRBP1,ribosome binding protein 1 homolog 180kDa (dog),37.65,8.75E-06,5.09E-04,
6507,SLC1A3,"solute carrier family 1 (glial high affinity glutamate transporter), member 3",37.57,9.05E-06,5.21E-04,
,BC030525,unknown,33.27,9.31E-06,5.24E-04,
4915,NTRK2,"neurotrophic tyrosine kinase, receptor, type 2",37.49,9.34E-06,5.24E-04,
10160,FARP1,"FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)",37.49,9.36E-06,5.24E-04,
54898,ELOVL2,"elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 2",37.50,9.33E-06,5.24E-04,
5097,PCDH1,protocadherin 1,37.35,9.90E-06,5.38E-04,
,U79272,unknown,37.38,9.79E-06,5.38E-04,
5322,PLA2G5,"phospholipase A2, group V",37.35,9.90E-06,5.38E-04,
361,AQP4,aquaporin 4,37.38,9.81E-06,5.38E-04,
25807,RHBDD3,rhomboid domain containing 3,37.36,9.88E-06,5.38E-04,
51741,WWOX,WW domain containing oxidoreductase,37.33,9.99E-06,5.40E-04,
6322,SCML1,sex comb on midleg-like 1 (Drosophila),33.05,1.02E-05,5.41E-04,
23075,SWAP70,SWAP-70 protein,37.31,1.01E-05,5.41E-04,
83604,TMEM47,transmembrane protein 47,37.28,1.02E-05,5.41E-04,
6563,SLC14A1,"solute carrier family 14 (urea transporter), member 1 (Kidd blood group)",37.28,1.02E-05,5.41E-04,
55914,ERBB2IP,erbb2 interacting protein,33.02,1.04E-05,5.45E-04,
6662,SOX9,SRY (sex determining region Y)-box 9,37.23,1.05E-05,5.46E-04,
,AK001062,unknown,32.95,1.07E-05,5.54E-04,
11213,IRAK3,interleukin-1 receptor-associated kinase 3,32.94,1.08E-05,5.54E-04,
5255,PHKA1,"phosphorylase kinase, alpha 1 (muscle)",37.12,1.09E-05,5.59E-04,
54762,GRAMD1C,GRAM domain containing 1C,32.89,1.10E-05,5.60E-04,
3006,HIST1H1C,"histone cluster 1, H1c",37.06,1.12E-05,5.65E-04,
8546,AP3B1,"adaptor-related protein complex 3, beta 1 subunit",37.01,1.14E-05,5.73E-04,
6658,SOX3,SRY (sex determining region Y)-box 3,37.00,1.15E-05,5.73E-04,
10461,MERTK,c-mer proto-oncogene tyrosine kinase,36.97,1.16E-05,5.77E-04,
7035,TFPI,tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor),36.95,1.18E-05,5.77E-04,
347344,ZNF81,zinc finger protein 81,36.96,1.17E-05,5.77E-04,
55544,RBM38,RNA binding motif protein 38,36.87,1.22E-05,5.90E-04,
6717,SRI,sorcin,36.88,1.21E-05,5.90E-04,
51806,CALML5,calmodulin-like 5,32.64,1.23E-05,5.91E-04,
7431,VIM,vimentin,36.80,1.25E-05,5.91E-04,
2047,EPHB1,EPH receptor B1,36.79,1.26E-05,5.91E-04,
10840,ALDH1L1,"aldehyde dehydrogenase 1 family, member L1",36.81,1.25E-05,5.91E-04,
8424,BBOX1,"butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1",36.81,1.25E-05,5.91E-04,
5080,PAX6,paired box 6,36.79,1.26E-05,5.91E-04,
2152,F3,"coagulation factor III (thromboplastin, tissue factor)",36.74,1.29E-05,5.99E-04,
23205,ACSBG1,acyl-CoA synthetase bubblegum family member 1,36.72,1.29E-05,6.00E-04,
4047,LSS,"lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)",36.65,1.33E-05,6.15E-04,
64710,NUCKS1,nuclear casein kinase and cyclin-dependent kinase substrate 1,32.44,1.34E-05,6.17E-04,
1910,EDNRB,endothelin receptor type B,36.61,1.36E-05,6.20E-04,
11277,TREX1,three prime repair exonuclease 1,36.58,1.38E-05,6.24E-04,
2040,STOM,stomatin,36.56,1.38E-05,6.24E-04,
5338,PLD2,phospholipase D2,36.56,1.38E-05,6.24E-04,
23034,SAMD4A,sterile alpha motif domain containing 4A,32.34,1.40E-05,6.28E-04,
23705,CADM1,cell adhesion molecule 1,36.53,1.41E-05,6.28E-04,
5764,PTN,pleiotrophin,36.51,1.42E-05,6.29E-04,
57088,PLSCR4,phospholipid scramblase 4,32.30,1.43E-05,6.33E-04,
51512,GTSE1,G-2 and S-phase expressed 1,36.45,1.45E-05,6.36E-04,
1181,CLCN2,chloride channel 2,36.46,1.45E-05,6.36E-04,
6383,SDC2,syndecan 2,36.39,1.49E-05,6.50E-04,
7088,TLE1,"transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)",36.38,1.50E-05,6.50E-04,
6271,S100A1,S100 calcium binding protein A1,36.35,1.51E-05,6.53E-04,
3032,HADHB,"hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit",36.32,1.53E-05,6.59E-04,
23286,WWC1,WW and C2 domain containing 1,36.30,1.55E-05,6.64E-04,
3691,ITGB4,"integrin, beta 4",36.27,1.57E-05,6.68E-04,
51533,PHF7,PHD finger protein 7,32.08,1.58E-05,6.69E-04,
3240,HP,haptoglobin,32.05,1.60E-05,6.74E-04,
5992,RFX4,"regulatory factor X, 4 (influences HLA class II expression)",36.20,1.62E-05,6.76E-04,
482,ATP1B2,"ATPase, Na+/K+ transporting, beta 2 polypeptide",36.21,1.61E-05,6.76E-04,
90865,IL33,interleukin 33,36.17,1.64E-05,6.80E-04,
6506,SLC1A2,"solute carrier family 1 (glial high affinity glutamate transporter), member 2",36.14,1.66E-05,6.83E-04,
9444,QKI,"quaking homolog, KH domain RNA binding (mouse)",36.13,1.66E-05,6.83E-04,
8175,SF3A2,"splicing factor 3a, subunit 2, 66kDa",36.09,1.69E-05,6.86E-04,
4026,LPP,LIM domain containing preferred translocation partner in lipoma,36.09,1.69E-05,6.86E-04,
9813,KIAA0494,KIAA0494,36.11,1.68E-05,6.86E-04,
9848,MFAP3L,microfibrillar-associated protein 3-like,36.00,1.75E-05,7.03E-04,
10140,TOB1,"transducer of ERBB2, 1",36.01,1.75E-05,7.03E-04,
55893,ZNF395,zinc finger protein 395,31.81,1.78E-05,7.04E-04,
80231,CXorf21,chromosome X open reading frame 21,31.81,1.77E-05,7.04E-04,
3338,DNAJC4,"DnaJ (Hsp40) homolog, subfamily C, member 4",35.95,1.79E-05,7.08E-04,
23418,CRB1,crumbs homolog 1 (Drosophila),31.74,1.83E-05,7.18E-04,
26084,SGEF,Src homology 3 domain-containing guanine nucleotide exchange factor,31.72,1.84E-05,7.22E-04,
51,ACOX1,"acyl-Coenzyme A oxidase 1, palmitoyl",35.84,1.88E-05,7.31E-04,
5514,PPP1R10,"protein phosphatase 1, regulatory (inhibitor) subunit 10",31.66,1.90E-05,7.34E-04,
11197,WIF1,WNT inhibitory factor 1,35.81,1.90E-05,7.34E-04,
2077,ERF,Ets2 repressor factor,35.76,1.94E-05,7.41E-04,
755,C21orf2,chromosome 21 open reading frame 2,35.77,1.94E-05,7.41E-04,
5339,PLEC1,"plectin 1, intermediate filament binding protein 500kDa",35.71,1.98E-05,7.50E-04,
11278,KLF12,Kruppel-like factor 12,35.71,1.98E-05,7.50E-04,
5558,PRIM2,"primase, DNA, polypeptide 2 (58kDa)",35.58,2.09E-05,7.87E-04,
64750,SMURF2,SMAD specific E3 ubiquitin protein ligase 2,35.58,2.09E-05,7.87E-04,
27295,PDLIM3,PDZ and LIM domain 3,35.55,2.12E-05,7.93E-04,
5315,PKM2,"pyruvate kinase, muscle",35.53,2.14E-05,7.99E-04,
54919,HEATR2,HEAT repeat containing 2,31.34,2.18E-05,8.06E-04,
8659,ALDH4A1,"aldehyde dehydrogenase 4 family, member A1",35.50,2.17E-05,8.06E-04,
92579,G6PC3,"glucose 6 phosphatase, catalytic, 3",31.29,2.23E-05,8.23E-04,
7145,TNS1,tensin 1,31.22,2.30E-05,8.40E-04,
9249,DHRS3,dehydrogenase/reductase (SDR family) member 3,35.36,2.30E-05,8.40E-04,
8690,JRKL,jerky homolog-like (mouse),35.33,2.32E-05,8.43E-04,
429,ASCL1,achaete-scute complex homolog 1 (Drosophila),35.33,2.33E-05,8.43E-04,
7101,NR2E1,"nuclear receptor subfamily 2, group E, member 1",35.31,2.34E-05,8.45E-04,
3955,LFNG,LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,35.30,2.36E-05,8.47E-04,
1031,CDKN2C,"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)",35.28,2.38E-05,8.47E-04,
8736,MYOM1,"myomesin 1, 185kDa",35.24,2.42E-05,8.56E-04,
3958,LGALS3,"lectin, galactoside-binding, soluble, 3",35.22,2.44E-05,8.56E-04,
6439,SFTPB,surfactant protein B,35.22,2.44E-05,8.56E-04,
,AL832276,unknown,35.23,2.43E-05,8.56E-04,
5077,PAX3,paired box 3,35.20,2.46E-05,8.56E-04,
3673,ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)",35.21,2.45E-05,8.56E-04,
51435,SCARA3,"scavenger receptor class A, member 3",31.05,2.48E-05,8.56E-04,
3280,HES1,"hairy and enhancer of split 1, (Drosophila)",35.18,2.47E-05,8.56E-04,
23209,MLC1,megalencephalic leukoencephalopathy with subcortical cysts 1,35.14,2.53E-05,8.70E-04,
1241,LTB4R,leukotriene B4 receptor,35.10,2.56E-05,8.77E-04,
6874,TAF4,"TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135kDa",35.07,2.59E-05,8.79E-04,
7728,ZNF175,zinc finger protein 175,35.08,2.59E-05,8.79E-04,
29893,PSMC3IP,PSMC3 interacting protein,30.91,2.63E-05,8.84E-04,
4534,MTM1,myotubularin 1,35.04,2.62E-05,8.84E-04,
51666,ASB4,ankyrin repeat and SOCS box-containing 4,35.02,2.65E-05,8.88E-04,
6239,RREB1,ras responsive element binding protein 1,34.99,2.68E-05,8.91E-04,
7392,USF2,"upstream transcription factor 2, c-fos interacting",35.00,2.68E-05,8.91E-04,
55062,WIPI1,"WD repeat domain, phosphoinositide interacting 1",34.98,2.70E-05,8.94E-04,
84124,ZNF394,zinc finger protein 394,30.78,2.79E-05,9.21E-04,
81628,TSC22D4,"TSC22 domain family, member 4",34.88,2.81E-05,9.24E-04,
6363,CCL19,chemokine (C-C motif) ligand 19,34.86,2.84E-05,9.31E-04,
26959,HBP1,HMG-box transcription factor 1,34.81,2.89E-05,9.41E-04,
11214,AKAP13,A kinase (PRKA) anchor protein 13,34.82,2.89E-05,9.41E-04,
558,AXL,AXL receptor tyrosine kinase,34.75,2.97E-05,9.59E-04,
55503,TRPV6,"transient receptor potential cation channel, subfamily V, member 6",34.75,2.97E-05,9.59E-04,
9469,CHST3,carbohydrate (chondroitin 6) sulfotransferase 3,34.72,3.00E-05,9.68E-04,
23554,TSPAN12,tetraspanin 12,30.60,3.03E-05,9.72E-04,
80036,TRPM3,"transient receptor potential cation channel, subfamily M, member 3",30.54,3.10E-05,9.89E-04,
155,ADRB3,"adrenergic, beta-3-, receptor",34.65,3.09E-05,9.89E-04,
3931,LCAT,lecithin-cholesterol acyltransferase,34.62,3.13E-05,9.92E-04,
23522,MYST4,MYST histone acetyltransferase (monocytic leukemia) 4,34.62,3.14E-05,9.92E-04,
27181,SIGLEC8,sialic acid binding Ig-like lectin 8,30.48,3.18E-05,1.00E-03,
217,ALDH2,aldehyde dehydrogenase 2 family (mitochondrial),34.54,3.24E-05,1.02E-03,
6640,SNTA1,"syntrophin, alpha 1 (dystrophin-associated protein A1, 59kDa, acidic component)",34.54,3.25E-05,1.02E-03,
4212,MEIS2,Meis homeobox 2,34.50,3.29E-05,1.03E-03,
5480,PPIC,peptidylprolyl isomerase C (cyclophilin C),34.49,3.32E-05,1.03E-03,
22978,NT5C2,"5'-nucleotidase, cytosolic II",34.47,3.34E-05,1.03E-03,
8476,CDC42BPA,CDC42 binding protein kinase alpha (DMPK-like),34.46,3.35E-05,1.03E-03,
54799,MBTD1,mbt domain containing 1,30.29,3.46E-05,1.06E-03,
10659,CUGBP2,"CUG triplet repeat, RNA binding protein 2",34.37,3.48E-05,1.06E-03,
23030,JMJD2B,jumonji domain containing 2B,34.31,3.57E-05,1.09E-03,
6926,TBX3,T-box 3,30.15,3.68E-05,1.10E-03,
3488,IGFBP5,insulin-like growth factor binding protein 5,34.23,3.69E-05,1.10E-03,
9940,DLEC1,deleted in lung and esophageal cancer 1,34.26,3.65E-05,1.10E-03,
4038,LRP4,low density lipoprotein receptor-related protein 4,34.23,3.69E-05,1.10E-03,
8895,CPNE3,copine III,34.25,3.65E-05,1.10E-03,
4791,NFKB2,nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100),34.26,3.65E-05,1.10E-03,
55327,LIN7C,lin-7 homolog C (C. elegans),30.12,3.73E-05,1.11E-03,
79087,ALG12,"asparagine-linked glycosylation 12, alpha-1,6-mannosyltransferase homolog (S. cerevisiae)",30.11,3.74E-05,1.11E-03,
79092,CARD14,"caspase recruitment domain family, member 14",30.06,3.83E-05,1.13E-03,
9857,CEP350,centrosomal protein 350kDa,34.09,3.91E-05,1.15E-03,
248,ALPI,"alkaline phosphatase, intestinal",34.08,3.93E-05,1.15E-03,
80150,ASRGL1,asparaginase like 1,29.98,3.97E-05,1.16E-03,
5998,RGS3,regulator of G-protein signaling 3,34.05,3.98E-05,1.16E-03,
133619,PRRC1,proline-rich coiled-coil 1,34.01,4.05E-05,1.18E-03,
338811,FAM19A2,"family with sequence similarity 19 (chemokine (C-C motif)-like), member A2",29.89,4.12E-05,1.18E-03,
23620,NTSR2,neurotensin receptor 2,33.97,4.11E-05,1.18E-03,
4811,NID1,nidogen 1,33.97,4.12E-05,1.18E-03,
183,AGT,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",33.97,4.11E-05,1.18E-03,
25840,METTL7A,methyltransferase like 7A,33.94,4.16E-05,1.19E-03,
3216,HOXB6,homeobox B6,29.83,4.23E-05,1.21E-03,
9368,SLC9A3R1,"solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 1",33.88,4.26E-05,1.21E-03,
9138,ARHGEF1,Rho guanine nucleotide exchange factor (GEF) 1,33.85,4.32E-05,1.23E-03,
1368,CPM,carboxypeptidase M,33.83,4.35E-05,1.23E-03,
79933,SYNPO2L,synaptopodin 2-like,33.79,4.43E-05,1.25E-03,
54581,SCAND2,SCAN domain containing 2 pseudogene,33.77,4.48E-05,1.26E-03,
112869,CCDC101,coiled-coil domain containing 101,29.67,4.54E-05,1.27E-03,
221078,NSUN6,"NOL1/NOP2/Sun domain family, member 6",33.72,4.56E-05,1.27E-03,
1666,DECR1,"2,4-dienoyl CoA reductase 1, mitochondrial",33.69,4.63E-05,1.29E-03,
54953,C1orf27,chromosome 1 open reading frame 27,29.55,4.78E-05,1.33E-03,
2905,GRIN2C,"glutamate receptor, ionotropic, N-methyl D-aspartate 2C",33.57,4.86E-05,1.35E-03,
9727,RAB11FIP3,RAB11 family interacting protein 3 (class II),33.55,4.89E-05,1.35E-03,
