NEW-Gene-ID,Zscore,Direction,P
BTBD11,-12.171,-,4.435E-34
EDAR,-13.062,-,5.444E-39
ELOVL4,-14.909,-,2.901E-50
LGALS1,13.568,+,6.165E-42
KLHL3,-13.185,-,1.068E-39
CD8B,-11.084,-,1.5E-28
NBEA,-10.843,-,2.145E-27
NUAK1,15.281,+,1.023E-52
GTSCR1,10.45,+,1.458E-25
PDGFD,12.147,+,5.985E-34
ANXA1,11.425,+,3.133E-30
APOBEC3H,11.567,+,6.04E-31
ATM,-13.685,-,1.253E-42
ID3,-11.836,-,2.552E-32
PCED1B,-13.304,-,2.182E-40
COBLL1,-12.922,-,3.401E-38
MZB1,-9.708,-,2.774E-22
GPR18,-13.679,-,1.349E-42
CEP41,-13.48,-,2.038E-41
ETS1,-13.493,-,1.727E-41
FAM117B,-12.098,-,1.082E-33
EPHX2,-12.692,-,6.523E-37
CAMK4,-14.466,-,1.98E-47
MCOLN2,10.173,+,2.629E-24
CCR6,-13.806,-,2.341E-43
TXK,-11.805,-,3.669E-32
LEPROTL1,-12.769,-,2.44E-37
KYNU,12.767,+,2.501E-37
F2R,12.787,+,1.931E-37
PRF1,11.509,+,1.191E-30
DKC1,-13.417,-,4.806E-41
CACNA2D2,11.259,+,2.082E-29
SPRY1,-13.53,-,1.047E-41
ATP2B4,11.622,+,3.191E-31
FOXO1,-12.571,-,3.064E-36
MMP28,-14.522,-,8.788E-48
LGMN,-11.544,-,7.941E-31
CD84,10.26,+,1.063E-24
DENND2D,-14.258,-,3.983E-46
CLUAP1,-13.254,-,4.265E-40
OCIAD2,-13.317,-,1.841E-40
GZMA,11.425,+,3.141E-30
CD79A,-10.01,-,1.381E-23
PDGFRB,13.868,+,9.899E-44
RCAN3,-11.93,-,8.225E-33
TSPAN13,-12.035,-,2.324E-33
HOOK1,-13.054,-,6.061E-39
KIAA1147,-14.162,-,1.576E-45
THNSL1,-12.087,-,1.236E-33
ATIC,-11.665,-,1.915E-31
NAA16,-10.012,-,1.355E-23
IGFBP3,8.426,+,3.576E-17
SUSD1,12.088,+,1.228E-33
CD28,-14.157,-,1.691E-45
RORC,-12.012,-,3.066E-33
RAD54B,-10.353,-,4.037E-25
MAN1C1,-10.499,-,8.686E-26
STRBP,-11.768,-,5.702E-32
TARBP1,-10.079,-,6.866E-24
BANK1,-12.184,-,3.781E-34
KLF6,10.661,+,1.55E-26
KLRD1,12.142,+,6.326E-34
TRA@,-13.632,-,2.574E-42
FAM159A,-12.508,-,6.714E-36
NPM3,-9.514,-,1.84E-21
ZEB2,12.459,+,1.248E-35
VAMP5,12.649,+,1.13E-36
ZNF154,-12.344,-,5.26E-35
DGKA,-13.564,-,6.532E-42
KAT2A,-9.395,-,5.703E-21
POU2AF1,-9.201,-,3.542E-20
EPHA1,-12.169,-,4.537E-34
TPM2,-11.842,-,2.356E-32
C1QBP,-11.398,-,4.298E-30
LTBP3,-9.714,-,2.638E-22
PLCG1,-12.335,-,5.856E-35
IGFBP7,10.413,+,2.153E-25
ITGA6,-12.306,-,8.376E-35
F5,10.786,+,4.01E-27
B3GAT1,13.818,+,1.982E-43
TMEM204,-12.162,-,4.966E-34
CD96,-12.542,-,4.398E-36
VCAN,11.482,+,1.63E-30
RRS1,-12.237,-,1.96E-34
HSPH1,-12.054,-,1.855E-33
SESN1,-12.879,-,5.944E-38
CRIP1,11.165,+,6.061E-29
TBC1D4,-11.822,-,3.018E-32
ANXA2R,-11.242,-,2.527E-29
HAVCR2,11.273,+,1.789E-29
CD7,-7.863,-,3.747E-15
STMN1,-11.178,-,5.216E-29
GNLY,11.19,+,4.549E-29
APEX1,-12.078,-,1.383E-33
ICOS,-13.193,-,9.626E-40
GK5,9.334,+,1.024E-20
SAE1,-10.785,-,4.074E-27
FLT3LG,-10.795,-,3.64E-27
ERBB2,13.058,+,5.692E-39
PYHIN1,10.191,+,2.184E-24
NME8,9.63,+,5.974E-22
FAM13A,9.624,+,6.307E-22
PMEPA1,-9.558,-,1.204E-21
RAPGEF6,-11.177,-,5.262E-29
ZNHIT6,-12.79,-,1.864E-37
PASK,-10.679,-,1.278E-26
AGPAT4,13.436,+,3.731E-41
STOM,9.132,+,6.699E-20
TRIB2,-11.93,-,8.214E-33
AHNAK,10.872,+,1.567E-27
DDX47,-11.061,-,1.937E-28
CDCA7L,-9.548,-,1.317E-21
S100A10,11.125,+,9.489E-29
GNG7,-10.269,-,9.74E-25
GEMIN4,-11.383,-,5.089E-30
TRAF5,-12.492,-,8.216E-36
CD3E,-11.392,-,4.558E-30
CLDND2,9.991,+,1.665E-23
CXCR5,-10.913,-,9.98E-28
FBLN2,-9.895,-,4.357E-23
PAPSS2,10.388,+,2.806E-25
RNF144A,-9.547,-,1.331E-21
KLF11,9.833,+,8.111E-23
GPR141,11.535,+,8.762E-31
CD22,-10.139,-,3.703E-24
ZBP1,10.224,+,1.549E-24
CHN1,10.159,+,3.017E-24
SLFN11,8.437,+,3.251E-17
CD244,9.282,+,1.663E-20
ILK,10.322,+,5.59E-25
CST7,11.331,+,9.255E-30
AK5,-11.851,-,2.133E-32
PTGDS,9.913,+,3.643E-23
EIF2S3,-10.015,-,1.308E-23
HSPD1,-9.719,-,2.497E-22
DNAJA3,-11.263,-,2.007E-29
TXNDC5,-6.899,-,5.247E-12
KLRF1,8.885,+,6.405E-19
PDK4,10.557,+,4.708E-26
NMUR1,10.655,+,1.658E-26
BCAS4,-8.601,-,7.925E-18
IARS,-11.773,-,5.363E-32
C6orf48,-11.093,-,1.352E-28
RSL1D1,-11.41,-,3.709E-30
VEGFB,-8.588,-,8.851E-18
PTGDR,8.352,+,6.722E-17
IMP3,-9.315,-,1.221E-20
SEPT6,-12.08,-,1.34E-33
LGR6,9.86,+,6.191E-23
POLR1C,-9.471,-,2.768E-21
PLAG1,-10.741,-,6.506E-27
AXIN2,-10.783,-,4.132E-27
TTC3,-10.461,-,1.304E-25
ZNF135,-10.474,-,1.143E-25
FAM129C,-8.756,-,2.021E-18
SPOCK2,-11.59,-,4.616E-31
CNN3,-11.546,-,7.778E-31
ZNF439,-10.657,-,1.617E-26
MTA3,-8.902,-,5.463E-19
C2orf40,-9.381,-,6.522E-21
GBP5,9.115,+,7.876E-20
EPB41L4A-AS1,-10.271,-,9.493E-25
EFNA1,-13.187,-,1.039E-39
BHLHE40,9.512,+,1.878E-21
APOBEC3G,9.547,+,1.337E-21
ZNF256,-11.172,-,5.589E-29
LPP,9.421,+,4.462E-21
C1orf162,11.01,+,3.431E-28
NIPAL3,-10,-,1.521E-23
P2RX7,10.197,+,2.046E-24
EXOSC5,-9.408,-,5.047E-21
SLC25A20,11.621,+,3.214E-31
GAB3,8.63,+,6.134E-18
PAQR8,-11.875,-,1.594E-32
ENOSF1,-9.89,-,4.617E-23
EIF3E,-9.556,-,1.224E-21
IGLL1,-8.157,-,3.421E-16
EOMES,9.242,+,2.423E-20
TEX10,-9.604,-,7.672E-22
MAGED1,-9.253,-,2.189E-20
KLF10,9.25,+,2.25E-20
UBASH3A,-10.841,-,2.207E-27
SPTBN1,-11.574,-,5.601E-31
MTSS1,7.898,+,2.834E-15
HSF2,-9.777,-,1.412E-22
PTPN7,7.835,+,4.671E-15
ARHGEF18,-9.188,-,4.014E-20
TRAP1,-9.275,-,1.781E-20
TSHZ2,6.329,+,2.466E-10
EIF3H,-10.904,-,1.107E-27
SNTB2,8.321,+,8.696E-17
ZNF550,-9.841,-,7.461E-23
BCL11A,-9.285,-,1.618E-20
CTNNA1,9.504,+,2.017E-21
HLA-DOA,-8.359,-,6.338E-17
IL10RA,7.809,+,5.748E-15
HSP90B1,-9.347,-,9.009E-21
SCD,-8.186,-,2.71E-16
POLR1E,-10.564,-,4.397E-26
SNRPN,-9.249,-,2.268E-20
SORT1,10.127,+,4.207E-24
ADSL,-9.306,-,1.322E-20
LARS,-9.079,-,1.098E-19
SYPL1,-9.875,-,5.346E-23
PTGER2,9.062,+,1.286E-19
SLC38A1,-10.049,-,9.244E-24
CIRH1A,-10.139,-,3.691E-24
GSPT2,-11.113,-,1.081E-28
APH1B,8.16,+,3.348E-16
E2F5,-9.667,-,4.169E-22
SERINC5,-10.1,-,5.509E-24
EIF3L,-10.134,-,3.894E-24
CHMP7,-9.888,-,4.689E-23
MARCH1,9.914,+,3.603E-23
DDX10,-9.769,-,1.531E-22
LAGE3,-8.291,-,1.12E-16
ITGB1,7.509,+,5.978E-14
WDR75,-10.364,-,3.615E-25
CCDC109B,-9.561,-,1.164E-21
PFAS,-8.318,-,8.972E-17
FAM213A,-9.311,-,1.264E-20
TIGD7,-9.438,-,3.789E-21
PKIA,-8.944,-,3.74E-19
CD70,9.914,+,3.625E-23
ARHGAP32,-8.356,-,6.488E-17
ZNF365,9.664,+,4.285E-22
EEF2,-10.416,-,2.103E-25
MT1A,9.646,+,5.107E-22
PDZD4,8.255,+,1.517E-16
DPH5,-10.6,-,2.97E-26
OBSCN,-8.249,-,1.591E-16
DOCK10,-10.659,-,1.59E-26
NAT10,-10.799,-,3.471E-27
CKAP4,9.966,+,2.15E-23
ZNF544,-10.202,-,1.947E-24
TC2N,-9.248,-,2.284E-20
BTLA,-9.919,-,3.443E-23
TLE2,-7.861,-,3.821E-15
CCT2,-9.816,-,9.596E-23
C10orf2,-8.994,-,2.377E-19
EVL,-10.099,-,5.573E-24
FASLG,8.926,+,4.432E-19
GNL3,-9.72,-,2.481E-22
RPS6,-9.996,-,1.588E-23
BATF,9.018,+,1.924E-19
IRF8,-9.254,-,2.153E-20
CD79B,-8.299,-,1.05E-16
SRPRB,-10.121,-,4.452E-24
GPA33,-10.56,-,4.571E-26
NOL11,-9.217,-,3.065E-20
TESPA1,-11.236,-,2.727E-29
GPR137B,8.63,+,6.137E-18
IRAK3,9.088,+,1.007E-19
PUS1,-8.866,-,7.6E-19
SET,-8.423,-,3.655E-17
ASCL2,10.542,+,5.52E-26
MKI67IP,-9.288,-,1.571E-20
LPCAT1,9.62,+,6.563E-22
CYP4F22,7.785,+,6.958E-15
MAFB,8.032,+,9.582E-16
ITK,-11.487,-,1.538E-30
NRIP1,-8.223,-,1.989E-16
FAM214B,6.945,+,3.785E-12
PDE3B,-9.914,-,3.608E-23
LINC00152,6.989,+,2.76E-12
GRPEL2,-10.395,-,2.623E-25
C9orf123,-8.606,-,7.568E-18
CMKLR1,8.41,+,4.112E-17
SH2D1B,7.196,+,6.192E-13
ANXA2,9.998,+,1.552E-23
SEH1L,-9.922,-,3.354E-23
TNFRSF17,-7.335,-,2.218E-13
ABCE1,-9.484,-,2.444E-21
MORC2,-9.916,-,3.538E-23
TRAF3IP2,-8.258,-,1.482E-16
ZNF671,-9.442,-,3.647E-21
DBP,-7.515,-,5.689E-14
TMX4,8.482,+,2.204E-17
ALKBH2,-9.317,-,1.196E-20
ATP6V0E2,-8.504,-,1.838E-17
MAPKAPK5-AS1,-9.104,-,8.689E-20
MT1E,8.775,+,1.707E-18
RPS4X,-8.86,-,8.004E-19
PLBD1,9.601,+,7.915E-22
PPAT,-11.028,-,2.8E-28
KIF1B,8.163,+,3.274E-16
KIAA0125,-9.236,-,2.56E-20
GPR114,10.117,+,4.658E-24
NCAM1,7.638,+,2.198E-14
TNFRSF13B,-7.783,-,7.089E-15
SLC31A1,10.101,+,5.445E-24
LY9,-10.365,-,3.561E-25
WDR4,-7.786,-,6.893E-15
N6AMT1,-8.22,-,2.029E-16
CDK6,-9.79,-,1.243E-22
MAP3K5,8.793,+,1.457E-18
MAL,-9.972,-,2.014E-23
UBA52,-8.559,-,1.135E-17
PRMT3,-8.707,-,3.108E-18
UXT,-8.934,-,4.124E-19
RPL18,-9.643,-,5.247E-22
SPIB,-6.838,-,8.057E-12
BNIP3,-9.189,-,3.962E-20
BEX2,-9.519,-,1.75E-21
ARG1,9.782,+,1.342E-22
TTLL3,8.344,+,7.208E-17
BLK,-6.504,-,7.817E-11
CPT1A,9.351,+,8.696E-21
LMNA,8.041,+,8.882E-16
FCGR1A,8.99,+,2.465E-19
TTC27,-9.298,-,1.426E-20
GIMAP5,-10.453,-,1.414E-25
IL1R2,8.538,+,1.369E-17
RPL13,-7.88,-,3.264E-15
WDR12,-8.547,-,1.258E-17
EIF3M,-7.541,-,4.65E-14
KIF5C,-11.7,-,1.271E-31
CCT8,-9.168,-,4.828E-20
DSC1,-8.647,-,5.302E-18
PARP3,9,+,2.254E-19
ASGR2,10.715,+,8.677E-27
CAPN2,6.913,+,4.737E-12
STAT1,8.737,+,2.387E-18
CPEB3,8.266,+,1.382E-16
TMEM97,-8.142,-,3.896E-16
RRAS,8.783,+,1.59E-18
LRRFIP2,9.704,+,2.91E-22
KLHL6,-8.642,-,5.526E-18
ROPN1L,10.182,+,2.389E-24
PACSIN1,-8.399,-,4.517E-17
KIAA0020,-9.815,-,9.66E-23
DPP4,-10.74,-,6.602E-27
GFI1,8.668,+,4.407E-18
PLEK,8.391,+,4.811E-17
CCL5,8.674,+,4.182E-18
MTUS1,-7.269,-,3.622E-13
VAMP3,9.29,+,1.546E-20
GLIPR2,9.322,+,1.139E-20
DYRK2,-8.856,-,8.305E-19
FBXO6,8.975,+,2.829E-19
RPS23,-7.492,-,6.775E-14
IDS,8.051,+,8.193E-16
GPATCH4,-9.745,-,1.934E-22
MEGF9,8.56,+,1.128E-17
TSPAN2,7.401,+,1.353E-13
PNPO,-7.203,-,5.887E-13
DPH2,-6.936,-,4.021E-12
YPEL1,9.572,+,1.049E-21
URI1,-9.121,-,7.44E-20
MBOAT1,7.891,+,2.995E-15
LRPPRC,-9.398,-,5.544E-21
RCAN2,10.595,+,3.157E-26
TRMT13,-8.255,-,1.513E-16
PPRC1,-8.58,-,9.486E-18
PDCD2L,-8.02,-,1.058E-15
BCKDHB,-8.655,-,4.917E-18
AFF3,-8.986,-,2.557E-19
PARP1,-9.33,-,1.063E-20
RPL8,-7.835,-,4.697E-15
FRMD3,8.501,+,1.881E-17
CD19,-6.369,-,1.902E-10
EBF1,-8.696,-,3.447E-18
NOP2,-9.373,-,7.05E-21
CHI3L2,-6.651,-,2.91E-11
B4GALT5,8.098,+,5.574E-16
EIF2D,-8.665,-,4.519E-18
SLC26A8,8.705,+,3.185E-18
WARS,8.844,+,9.247E-19
SLC22A15,8.537,+,1.374E-17
MARS2,-9.638,-,5.521E-22
NME1,-7.748,-,9.37E-15
CBLL1,-9.175,-,4.511E-20
CPA5,-7.64,-,2.166E-14
HSD17B8,-8.093,-,5.828E-16
C12orf57,-8.09,-,5.963E-16
PPA1,-8.126,-,4.422E-16
ABI3,9.047,+,1.466E-19
RPS13,-8.268,-,1.36E-16
ANKRD22,9.027,+,1.757E-19
RPL5,-8.425,-,3.609E-17
RBM17,-9.347,-,9.051E-21
SH3YL1,-8.183,-,2.769E-16
CD58,7.646,+,2.068E-14
RASGRP2,-7.579,-,3.494E-14
SRM,-6.73,-,1.698E-11
FAM50B,-8.66,-,4.719E-18
CCDC50,-6.742,-,1.559E-11
TCEA3,-9.059,-,1.314E-19
AGPAT4-IT1,7.811,+,5.661E-15
CYP2J2,-9.597,-,8.237E-22
FAM153B,-9.844,-,7.241E-23
RNASE2,10.068,+,7.617E-24
AKTIP,-8.915,-,4.893E-19
ALG8,-9.204,-,3.462E-20
NREP,-5.383,-,7.328E-08
NCL,-8.051,-,8.192E-16
RPUSD2,-7.728,-,1.091E-14
HLA-DOB,-7.92,-,2.375E-15
TPST1,8.293,+,1.108E-16
TIGIT,7.926,+,2.269E-15
CERS6,-6.352,-,2.12E-10
GTPBP4,-8.535,-,1.403E-17
NPAT,-7.338,-,2.171E-13
RAP1GAP2,7.648,+,2.041E-14
RPLP0,-7.938,-,2.056E-15
CD163,8.649,+,5.217E-18
MRPL45,-7.782,-,7.131E-15
HADH,-8.224,-,1.964E-16
C3AR1,9.917,+,3.52E-23
SRPK1,6.577,+,4.791E-11
LHFPL2,10.162,+,2.935E-24
EIF4G3,8.078,+,6.585E-16
HMGN1,-7.478,-,7.567E-14
CSTF3,-6.665,-,2.643E-11
CDKN1C,7.527,+,5.211E-14
SLAMF6,7.581,+,3.426E-14
MS4A6A,10.094,+,5.892E-24
RALA,-8.749,-,2.149E-18
ZNF529,-8.774,-,1.723E-18
ACVR2A,5.437,+,5.426E-08
WIPI1,9.911,+,3.724E-23
NBEAL2,7.626,+,2.415E-14
ZNF22,-8.274,-,1.291E-16
RALGDS,7.733,+,1.05E-14
UPP1,7.531,+,5.019E-14
GAR1,-7.761,-,8.445E-15
ADPRM,-9.344,-,9.233E-21
DDX55,-8.892,-,5.981E-19
BMS1,-8.645,-,5.376E-18
TMEM66,-8.544,-,1.3E-17
APMAP,8.466,+,2.547E-17
ALOX5AP,9.43,+,4.091E-21
SERPINB8,8.192,+,2.561E-16
METTL1,-6.573,-,4.929E-11
ANTXR2,6.649,+,2.956E-11
GDPD5,7.629,+,2.369E-14
ZNF30,-9.575,-,1.017E-21
LTV1,-7.283,-,3.254E-13
LYPD2,6.259,+,3.876E-10
SLC31A2,8.343,+,7.245E-17
GAMT,-8.046,-,8.554E-16
VSIG4,8.887,+,6.281E-19
GABARAPL1,7.763,+,8.306E-15
NUP107,-7.703,-,1.331E-14
CCT3,-7.646,-,2.078E-14
CDK4,-6.47,-,9.772E-11
TMEM99,-8.203,-,2.34E-16
FCRLA,-7.099,-,1.252E-12
TCEA2,-6.203,-,5.541E-10
CD63,9.247,+,2.313E-20
PHF14,-6.92,-,4.508E-12
MGC24103,7.693,+,1.433E-14
AARS,-8.002,-,1.222E-15
NARS2,-8.208,-,2.252E-16
RASSF1,8.596,+,8.239E-18
ZNF302,-8.365,-,5.993E-17
DNASE1L3,-8.102,-,5.39E-16
EIF4B,-8.539,-,1.35E-17
TOP1MT,-7.552,-,4.298E-14
C6orf108,-7.98,-,1.463E-15
RBM26,-7.986,-,1.399E-15
SLCO4C1,9.776,+,1.427E-22
SRSF6,-8.212,-,2.177E-16
SERPINB6,7.029,+,2.075E-12
ENTPD1,7.772,+,7.746E-15
PRDM1,7.2,+,6.029E-13
DSC2,7.526,+,5.227E-14
FOXJ3,-8.548,-,1.254E-17
H2AFY2,-7.654,-,1.955E-14
E2F2,5.197,+,2.024E-07
WRN,-8.204,-,2.324E-16
PUS7,-9.375,-,6.901E-21
C12orf23,-8.251,-,1.565E-16
SPON1,-9.021,-,1.862E-19
RBL2,-8.266,-,1.386E-16
EFHD2,8.422,+,3.7E-17
ITFG2,-7.303,-,2.807E-13
KIAA0355,-9.817,-,9.485E-23
ARHGEF40,7.736,+,1.028E-14
GLTSCR2,-8.626,-,6.379E-18
TP53I3,8.996,+,2.337E-19
ATL3,6.477,+,9.352E-11
CHCHD10,-7.693,-,1.439E-14
RAP2A,7.637,+,2.221E-14
LSM2,-6.333,-,2.405E-10
EBAG9,-8.321,-,8.725E-17
CTSW,8.435,+,3.32E-17
ANG,9.575,+,1.018E-21
AKR1C3,7.032,+,2.035E-12
SLC27A3,8.379,+,5.339E-17
ZCCHC11,-7.152,-,8.529E-13
ADK,-8.634,-,5.908E-18
TSEN2,-9.203,-,3.491E-20
GPX7,-8.1,-,5.507E-16
CCT4,-7.897,-,2.865E-15
NOA1,-7.625,-,2.449E-14
ATXN1,7.18,+,6.987E-13
NOP58,-7.055,-,1.726E-12
UBR2,5.373,+,7.728E-08
SREBF1,-5.137,-,2.795E-07
EIF4A2,-8.599,-,8.049E-18
EIF2A,-7.89,-,3.023E-15
PALLD,8.495,+,1.975E-17
MFNG,-7.435,-,1.046E-13
NPC2,9.297,+,1.451E-20
TNF,4.987,+,6.135E-07
SLFN13,6.358,+,2.04E-10
OGDH,6.712,+,1.916E-11
TMEM156,-7.328,-,2.332E-13
APBA2,-8.634,-,5.939E-18
STX11,8.843,+,9.328E-19
RAB11FIP5,8.53,+,1.46E-17
CTSL1,6.128,+,8.905E-10
SERBP1,-8.272,-,1.313E-16
ZBTB25,-9.157,-,5.331E-20
MAML2,-9.08,-,1.081E-19
AHCY,-5.862,-,4.584E-09
MGST3,8.851,+,8.66E-19
RGCC,-9.199,-,3.6E-20
C19orf59,8.406,+,4.239E-17
RRP15,-8.141,-,3.922E-16
ANKRD13A,7.824,+,5.106E-15
RPSAP58,-7.797,-,6.342E-15
GALC,6.13,+,8.809E-10
NUP160,-9.029,-,1.727E-19
TSPAN3,-8.369,-,5.803E-17
NDST1,7.752,+,9.017E-15
DNMT1,-8.654,-,4.982E-18
OSBPL10,-7.185,-,6.726E-13
TMTC1,6.425,+,1.32E-10
CDC42EP4,7.161,+,7.985E-13
C16orf58,-6.999,-,2.576E-12
SMARCA1,-6.165,-,7.03E-10
MS4A4A,9.032,+,1.686E-19
SLC38A11,-7.329,-,2.314E-13
PARP8,6.948,+,3.701E-12
RPS2,-6.475,-,9.511E-11
KDM1A,-6.88,-,5.994E-12
ADAP2,8.149,+,3.664E-16
TRAFD1,6.755,+,1.427E-11
NPC1,8.274,+,1.294E-16
RPL13P5,-5.402,-,6.594E-08
MSC,8.901,+,5.547E-19
HK3,9.226,+,2.813E-20
CRISPLD2,7.907,+,2.634E-15
SHMT2,-6.029,-,1.653E-09
SERPINF1,-5.652,-,1.583E-08
LILRB1,6.743,+,1.554E-11
HNRPDL,-7.103,-,1.219E-12
NOC3L,-7.444,-,9.779E-14
WDR59,-8.309,-,9.634E-17
C10orf35,-8.664,-,4.537E-18
TIPARP,6.471,+,9.725E-11
CMTM8,-7.113,-,1.137E-12
NOL8,-7.899,-,2.812E-15
LINGO2,6.554,+,5.594E-11
TIMM21,-7.245,-,4.331E-13
C5orf51,-7.19,-,6.464E-13
CYBASC3,-6.234,-,4.534E-10
ZDHHC9,-7.582,-,3.4E-14
TCF3,-5.847,-,0.000000005
SERTAD2,-7.705,-,1.308E-14
CD3D,-7.574,-,3.61E-14
GIMAP7,-8.769,-,1.806E-18
NOLC1,-8.078,-,6.563E-16
C22orf29,-6.041,-,1.532E-09
EIF3G,-7.055,-,1.73E-12
MRPS27,-7.326,-,2.375E-13
GBP1,7.651,+,1.988E-14
DIMT1,-8.395,-,4.651E-17
TYSND1,-5.096,-,3.464E-07
SFTPD,5.644,+,1.662E-08
PITPNC1,-6.571,-,5.01E-11
TNFRSF21,-5.995,-,0.000000002
ZNF101,-8.139,-,3.992E-16
ANAPC1,-8.227,-,1.912E-16
ZNF480,-7.051,-,1.776E-12
IFNG,7.162,+,7.935E-13
BRIX1,-7.588,-,3.244E-14
SYNE2,4.628,+,0.000003696
FAM46A,6.904,+,5.074E-12
RCL1,-8.594,-,8.413E-18
SLAIN1,-7.344,-,2.072E-13
RABGGTB,-7.069,-,1.566E-12
FAR2,6.739,+,1.589E-11
ACTA2,6.2,+,5.645E-10
TMEM8B,-5.92,-,3.215E-09
WDR67,-7.159,-,8.141E-13
PRKCA,-9.57,-,1.072E-21
ESYT1,-7.55,-,4.344E-14
ZNF329,-7.873,-,3.454E-15
SMARCD3,7.922,+,2.34E-15
DKFZP586I1420,5.886,+,3.947E-09
HMOX1,6.492,+,8.468E-11
ZZZ3,-7.904,-,2.694E-15
ARMCX2,-7.506,-,6.103E-14
PCNX,4.803,+,0.00000156
TRMT112,-5.82,-,5.898E-09
DDX18,-7.008,-,2.425E-12
NRG1,7.561,+,4.01E-14
YTHDC1,-7.205,-,5.822E-13
SDCCAG3,-6.882,-,5.888E-12
CYB561,6.222,+,4.924E-10
LGALS3BP,-6.68,-,2.385E-11
VPS51,-6.693,-,2.192E-11
CCDC170,6.586,+,4.529E-11
SLC7A7,8.232,+,1.844E-16
ZNF683,8.641,+,5.588E-18
TNFAIP6,7.412,+,1.248E-13
DMXL2,7.133,+,9.839E-13
CD86,7.801,+,6.143E-15
ATG7,8.406,+,4.246E-17
KIF13B,7.024,+,2.163E-12
VIM,7.919,+,2.385E-15
CAPNS1,7.657,+,1.896E-14
TMEM123,-7.111,-,1.156E-12
GAL3ST4,-4.673,-,0.000002969
ANKRD46,-8.011,-,1.142E-15
PDIA5,-5.702,-,1.186E-08
MR1,7.8,+,6.179E-15
HDAC2,-5.869,-,4.382E-09
PRDM8,5.257,+,1.465E-07
ST6GAL1,-6.767,-,1.316E-11
PLA2G16,5.842,+,5.168E-09
SH3PXD2A,-6.64,-,3.146E-11
GNS,7.656,+,1.912E-14
ZCCHC7,-7.342,-,2.112E-13
KCNG1,-6.899,-,5.246E-12
TRIM28,-7.012,-,2.349E-12
VNN3,5.579,+,2.422E-08
RPL19,-7.975,-,1.525E-15
GTPBP3,-6.042,-,1.519E-09
MMP9,7.903,+,2.715E-15
HVCN1,-5.502,-,3.76E-08
RBPJ,8.218,+,2.072E-16
MAP3K4,-9.101,-,8.979E-20
SLCO3A1,7.528,+,5.172E-14
RPP40,-6.388,-,1.681E-10
PROS1,6.603,+,4.019E-11
PDCD4,-7.827,-,4.997E-15
ARHGAP26,6.367,+,1.933E-10
LTA,-7.762,-,8.387E-15
